Name,Product/Service type,Description,Sales price,Purchase price,Inventory start date,Quantity on hand,Deleted
#I-199 Miscellaneous,Service,#I-199 Miscellaneous,$0.00,--,--,--,No
(discounted) Breakfast Seasoned 1oz links Sausage,Service,(discounted) Breakfast Seasoned 1oz links Sausage,$1.50,--,--,--,No
(discounted) Breakfast Seasoned 2oz links Sausage,Service,(discounted) Breakfast Seasoned 2oz links Sausage,$1.50,--,--,--,No
(discounted) Breakfast Seasoned 4oz links Sausage,Service,(discounted) Breakfast Seasoned 4oz links Sausage,$1.50,--,--,--,No
(discounted) Breakfast Seasoned Loose Sausage,Service,(discounted) Breakfast Seasoned Loose Sausage,$0.75,--,--,--,No
(discounted) Breakfast Seasoned Patties Sausage,Service,(discounted) Breakfast Seasoned Patties Sausage,$1.50,--,--,--,No
(discounted) Chorizo 1oz Links Seasoned Sausage,Service,(discounted) Chorizo 1oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Chorizo 2oz Links Seasoned Sausage,Service,(discounted) Chorizo 2oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Chorizo 4oz Links Seasoned Sausage,Service,(discounted) Chorizo 4oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Chorizo Loose Seasoned Sausage,Service,(discounted) Chorizo Loose Seasoned Sausage,$1.00,--,--,--,No
(discounted) Chorizo Patties Seasoned Sausage,Service,(discounted) Chorizo Patties Seasoned Sausage,$1.75,--,--,--,No
(discounted) Customer Spice Seasoning- 1oz links,Service,(discounted) Customer Spice Seasoning- 1oz links,$1.50,--,--,--,No
(discounted) Customer Spice Seasoning- 2oz links,Service,(discounted) Customer Spice Seasoning- 2oz Links,$1.50,--,--,--,No
(discounted) Customer Spice Seasoning- 4oz Links,Service,(discounted) Customer Spice Seasoning- 4oz links,$1.50,--,--,--,No
(discounted) Customer Spice Seasoning- Loose,Service,(discounted) Customer Spice Seasoning- Loose,$0.75,--,--,--,No
(discounted) Customer Spice Seasoning- Patties,Service,(discounted) Customer Spice Seasoning- Patties,$1.50,--,--,--,No
(discounted) Garlic Bratwurst 1oz Links Seasoned Sausage,Service,(discounted) Garlic Bratwurst 1oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Garlic Bratwurst 2oz Links Seasoned Sausage,Service,(discounted) Garlic Bratwurst 2oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Garlic Bratwurst 4oz Links Seasoned Sausage,Service,(discounted) Garlic Bratwurst 4oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Garlic Bratwurst Loose Seasoned Sausage,Service,(discounted) Garlic Bratwurst Loose Seasoned Sausage,$1.00,--,--,--,No
(discounted) Garlic Bratwurst Patties Seasoned Sausage,Service,(discounted) Garlic Bratwurst Patties Seasoned Sausage,$1.75,--,--,--,No
(discounted) Hot Italian 1oz Links Seasoned Sausage,Service,(discounted) Hot Italian 1oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) Hot Italian 2oz Links Seasoned Sausage,Service,(discounted) Hot Italian 2oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) Hot Italian 4oz Links Seasoned Sausage,Service,(discounted) Hot Italian 4oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) Hot Italian Loose Seasoned Sausage,Service,(discounted) Hot Italian Loose Seasoned Sausage,$0.75,--,--,--,No
(discounted) Hot Italian Patties Seasoned Sausage,Service,(discounted) Hot Italian Patties Seasoned Sausage,$1.50,--,--,--,No
(discounted) Kill/Split Only,Service,--,$65.00,--,--,--,No
(discounted) Mild Italian 1oz Links Seasoned Sausage,Service,(discounted) Mild Italian 1oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) Mild Italian 2oz Links Seasoned Sausage,Service,(discounted) Mild Italian 2oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) Mild Italian 4oz Links Seasoned Sausage,Service,(discounted) Mild Italian 4oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) Mild Italian Loose Seasoned Sausage,Service,(discounted) Mild Italian Loose Seasoned Sausage,$0.75,--,--,--,No
(discounted) Mild Italian Patties Seasoned Sausage,Service,(discounted) Mild Italian Patties Seasoned Sausage,$1.50,--,--,--,No
(discounted) Sweet Italian 1oz Links Seasoned Sausage,Service,(discounted) Sweet Italian 1oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Sweet Italian 2oz Links Seasoned Sausage,Service,(discounted) Sweet Italian 2oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Sweet Italian 4oz Links Seasoned Sausage,Service,(discounted) Sweet Italian 4oz Links Seasoned Sausage,$1.75,--,--,--,No
(discounted) Sweet Italian Loose Seasoned Sausage,Service,(discounted) Sweet Italian Loose Seasoned Sausage,$1.00,--,--,--,No
(discounted) Sweet Italian Patties Seasoned Sausage,Service,(discounted) Sweet Italian Patties Seasoned Sausage,$1.75,--,--,--,No
(discounted) T&E Classic 1oz Links Seasoned Sausage,Service,(discounted) T&E Classic 1oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) T&E Classic 2oz Links Seasoned Sausage,Service,(discounted) T&E Classic 2oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) T&E Classic 4oz Links Seasoned Sausage,Service,(discounted) T&E Classic 4oz Links Seasoned Sausage,$1.50,--,--,--,No
(discounted) T&E Classic Loose Seasoned Sausage,Service,(discounted) T&E Classic Loose Seasoned Sausage,$0.75,--,--,--,No
(discounted) T&E Classic Patties Seasoned Sausage,Service,(discounted) T&E Classic Patties Seasoned Sausage,$1.50,--,--,--,No
10# Box Rate,Service,Charged per lb,--,--,--,--,No
10lb Ground Lamb Vacuum Packed,Service,10lb Ground Lamb Vacuum Packed,$0.05,--,--,--,No
1lb Ground Lamb Vacuum Packed,Service,1lb Ground Lamb Vacuum Packed,$0.20,--,--,--,No
2lb Ground Lamb Vacuum Packed,Service,2lb Ground Lamb Vacuum Packed,$0.20,--,--,--,No
5lb Ground Lamb Vacuum Packed,Service,5lb Ground Lamb Vacuum Packed,$0.05,--,--,--,No
Bad Debts,Service,--,$0.00,--,--,--,No
Beef 1/8 Fee (per 1/8),Service,Beef 1/8 Fee (per 1/8),$25.00,--,--,--,No
Beef 10lb Ground Vacuum Packed,Service,Beef 10lb Ground Vacuum Packed,$0.05,--,--,--,No
Beef 1lb Ground Vacuum Packed,Service,Beef 1lb Ground Vacuum Packed,$0.20,--,--,--,No
Beef 2lb Ground Vacuum Packed,Service,Beef 2lb Ground Vacuum Packed,$0.20,--,--,--,No
Beef 5lb Ground Vacuum Packed,Service,Beef 5lb Ground Vacuum Packed,$0.05,--,--,--,No
Beef Collect and Pack Organs,Service,Collect and Pack Organs- charged per lb,$0.95,--,--,--,No
Beef Cube Steak,Service,Cube Steak,$1.00,--,--,--,No
Beef Cut and Pack (W & L),Service,Beef Cut and Pack + 0.20 W&L,$1.15,--,--,--,No
Beef Cut and Pack Custom (NFS),Service,Beef Cut and Pack Custom (NFS),$0.95,--,--,--,No
Beef Cut Into Primals (8pc),Service,Beef Cut Into Primals (8pc)- Charged per lb.,$0.30,--,--,--,No
Beef Fajita Meat,Service,Fajita Meat,$0.50,--,--,--,No
Beef Fat/Suet Grinding,Service,Beef Fat/Suet Grinding,$0.50,--,--,--,No
Beef Kabob Meat,Service,Kabob Meat,$0.50,--,--,--,No
Beef Kill Fee,Service,Beef Kill Fee,$75.00,--,--,--,No
Beef Modern Boneless Cut & Pack (W & L),Service,"Boned Out Chuck, Premium Steaks",$1.25,--,--,--,No
Beef Modern Boneless Cut & Pack Custom (NFS),Service,"Boned Out Chuck, Premium Steaks",$1.05,--,--,--,No
Beef Over 30 Months,Service,Beef Over 30 Months,$50.00,--,--,--,No
Beef Quartering Fee,Service,Beef Quartering Fee,$0.20,--,--,--,No
Beef Restaurant Cut (W & L),Service,"Partially Processed, No Grinding",$0.95,--,--,--,No
Beef Restaurant Cut Custom (NFS),Service,"Partially Processed, No Grinding",$0.75,--,--,--,No
Beef Stew Meat,Service,Stew Meat,$0.50,--,--,--,No
Beef Thin Sliced Cheesesteak,Service,Thin Sliced Cheesesteak,$1.00,--,--,--,No
Boxing Service,Service,Boxing Service,$0.50,--,--,--,No
Breakfast Seasoned 1oz Links Pork Sausage,Service,Breakfast Seasoned 1oz Links Pork Sausage,$1.75,--,--,--,No
Breakfast Seasoned 2oz Links Pork Sausage,Service,Breakfast Seasoned 2oz Links Pork Sausage,$1.75,--,--,--,No
Breakfast Seasoned 4oz Links Pork Sausage,Service,Breakfast Seasoned 4oz Links Pork Sausage,$2.00,--,--,--,No
Breakfast Seasoned Loose Pork Sausage,Service,Breakfast Seasoned Loose Pork Sausage,$1.00,--,--,--,No
Breakfast Seasoned Patties Pork Sausage,Service,Breakfast Seasoned Patties Pork Sausage,$2.00,--,--,--,No
Chorizo Seasoned 1oz Links Pork Sausage,Service,Chorizo Seasoned 1oz Links Pork Sausage,$2.00,--,--,--,No
Chorizo Seasoned 2oz Links Pork Sausage,Service,Chorizo Seasoned 2oz Links Pork Sausage,$2.00,--,--,--,No
Chorizo Seasoned 4oz Links Pork Sausage,Service,Chorizo Seasoned 4oz Links Pork Sausage,$2.25,--,--,--,No
Chorizo Seasoned Loose Pork Sausage,Service,Chorizo Seasoned Loose Pork Sausage,$1.25,--,--,--,No
Chorizo Seasoned Patties Pork Sausage,Service,Chorizo Seasoned Patties Pork Sausage,$2.25,--,--,--,No
Collect & Pack Organs (per hog),Service,Collect & Pack Organs,$5.00,--,--,--,No
Condemned BEEF Disposal Fee,Service,per animal,$75.00,--,--,--,No
Condemned HOG Disposal Fee,Service,per animal,$60.00,--,--,--,No
Cured & Smoked Bacon,Service,Traditional Nitrite Cure,$3.00,--,--,--,No
Cured & Smoked Canadian Bacon,Service,Traditional Nitrite Cure,$3.00,--,--,--,No
Cured & Smoked Ham,Service,Traditional Nitrite Cure,$3.00,--,--,--,No
Cured & Smoked Hocks,Service,Traditional Nitrite Cure,$3.00,--,--,--,No
Cured & Smoked Jowl,Service,Traditional Nitrite Cure,$3.00,--,--,--,No
Custom Processing,Service,--,$0.00,--,--,--,No
Cut Sheet Not Tuned In By Slaughter Date,Service,per animal,$15.00,--,--,--,No
Dry-Aging >2 weeks,Service,Hanging Longer Than 2 Weeks,$15.00,--,--,--,No
Exotic Kill Fee,Service,Exotic Kill Fee,$120.00,--,--,--,No
Frenching Charge,Service,Charged per side (beef and pork),$10.00,--,--,--,No
Garlic Bratwurst Seasoned 1oz Links Pork Sausage,Service,Garlic Bratwurst Seasoned 1oz Links Pork Sausage,$2.00,--,--,--,No
Garlic Bratwurst Seasoned 2oz Links Pork Sausage,Service,Garlic Bratwurst Seasoned 2oz Links Pork Sausage,$2.00,--,--,--,No
